Name,Number of Records,Devices,Tests,Avg. Avg U Kbps,Avg. Avg D Kbps,Avg Lat Ms,Avg. Pop2005,Rank Upload,Rank Download,Rank Latency
Afghanistan,700,938,"2,480","3,442","6,949",56,"25,067,407",223,224,54
Åland Islands,163,300,489,"17,202","91,244",26,0,35,33,215
Albania,"1,826","4,724","7,944","13,679","45,590",29,"3,153,731",83,75,199
Algeria,"18,191","59,809","144,895","11,545","19,661",39,"32,854,159",132,184,124
American Samoa,22,30,54,"4,528","9,939",29,"64,051",222,221,199
Andorra,57,115,222,"20,657","129,125",39,"73,483",19,13,124
Angola,795,"1,239","2,752","9,571","24,586",45,"16,095,214",173,154,89
Anguilla,27,29,44,"7,579","27,210",62,"12,256",205,136,43
Antigua and Barbuda,174,383,623,"11,554","38,997",60,"83,039",131,87,49
Argentina,"20,818","40,490","73,066","9,190","26,440",46,"38,747,148",178,138,83
Armenia,"2,444","8,733","15,755","12,031","28,453",29,"3,017,661",113,128,199
Aruba,176,397,915,"23,149","74,023",39,"102,897",15,42,124
Australia,"49,153","134,344","258,940","15,102","119,059",30,"20,310,208",57,17,190
Austria,"22,631","48,053","88,677","17,146","79,813",30,"8,291,979",36,39,190
Azerbaijan,"4,401","10,425","16,035","12,603","35,703",30,"8,352,021",97,100,190
Bahamas,296,478,918,"10,302","30,910",48,"323,295",158,118,74
Bahrain,918,"10,684","21,368","18,817","127,080",22,"724,788",25,14,228
Bangladesh,"24,877","52,895","124,443","10,527","14,963",47,"15,328,112",154,205,78
Barbados,71,95,241,"8,966","28,657",62,"291,933",183,127,43
Belarus,"13,819","28,162","63,089","9,303","16,904",37,"9,795,287",175,199,132
Belgium,"10,556","16,731","25,359","16,213","70,094",33,"10,398,049",42,47,161
Belize,339,476,777,"6,568","14,940",50,"275,546",213,206,66
Benin,487,648,"1,535","13,796","25,232",32,"8,490,301",79,146,173
Bermuda,33,49,117,"11,501","45,081",45,"64,174",137,76,89
Bhutan,476,785,"2,615","14,462","75,276",27,"637,013",67,41,213
Bolivia,"6,318","21,692","40,143","10,115","17,026",45,"9,182,015",164,198,89
Bosnia and Herzegovina,"5,501","10,820","16,929","13,853","31,219",31,"3,915,238",78,116,180
Botswana,679,898,"1,723","13,723","31,863",42,"1,835,938",81,111,105
Brazil,"113,408","445,319","864,517","9,716","29,386",52,"186,830,759",170,121,60
British Indian Ocean Territory,1,1,1,816,"1,699",751,0,232,232,1
British Virgin Islands,59,119,222,"12,268","38,405",71,"22,016",104,90,34
Brunei Darussalam,652,"1,575","3,631","31,847","96,535",19,"373,831",1,28,233
Bulgaria,"10,042","34,045","61,239","17,057","123,550",29,"7,744,591",37,15,199
Burkina Faso,475,724,"1,538","14,522","21,810",32,"13,933,363",65,169,173
Burma,"13,642","26,496","56,585","14,123","24,900",47,"47,967,266",74,149,78
Burundi,111,192,529,"8,239","8,511",37,"7,858,791",192,222,132
Cambodia,"8,162","23,098","51,643","10,643","17,188",33,"13,955,507",152,197,161
Cameroon,561,"1,223","3,679","10,231","18,293",53,"17,795,149",162,191,58
Canada,"44,661","72,347","163,891","15,564","86,373",41,"32,270,507",48,36,112
Cape Verde,113,202,487,"14,264","30,241",30,"506,807",70,119,190
Cayman Islands,63,95,177,"11,097","45,994",49,"45,591",144,73,69
Central African Republic,29,47,222,"2,317","5,726",394,"4,191,429",227,226,4
Chad,156,267,"1,111","10,555","15,643",51,"10,145,609",153,203,61
Chile,"23,799","109,759","267,316","12,434","42,030",40,"16,295,102",99,81,118
China,"192,675","345,982","1,080,655","31,550","152,311",32,"1,312,978,855",2,6,173
Christmas Island,1,1,1,"2,145","2,566",124,0,228,231,15
Colombia,"20,166","111,024","260,449","9,239","14,219",64,"4,494,579",176,210,39
Comoros,46,67,275,"12,234","28,776",324,"797,902",106,125,7
Congo,141,209,591,"11,119","25,893",34,"3,609,851",143,143,154
Cook Islands,27,43,83,"7,044","16,382",70,"13,984",209,202,35
Costa Rica,"5,444","19,852","31,492","8,784","27,386",33,"4,327,228",188,134,161
Cote d'Ivoire,"1,127","1,916","5,321","11,374","23,496",45,"18,584,701",140,161,89
Croatia,"16,945","58,331","113,214","17,049","95,547",29,"455,149",38,29,199
Cuba,835,"1,356","3,060","8,369","12,711",140,"11,259,905",191,215,14
Cyprus,"3,136","10,258","19,107","17,890","102,791",34,"836,321",32,23,154
Czech Republic,"16,002","28,907","50,450","19,703","60,415",33,"10,191,762",21,54,161
Democratic Republic of the Congo,638,976,"3,311","8,769","16,664",84,"58,740,547",189,200,26
Denmark,"15,866","28,145","53,486","24,590","137,081",25,"5,416,945",10,10,220
Djibouti,65,113,232,"10,928","31,612",42,"804,206",148,113,105
Dominica,32,39,67,"8,918","34,564",79,"67,827",186,105,30
Dominican Republic,"4,829","20,166","40,524","8,062","26,074",53,"9,469,601",197,142,58
Ecuador,"5,066","14,419","26,478","10,201","22,580",44,"13,060,993",163,165,97
Egypt,"14,305","46,654","78,803","10,247","24,787",41,"72,849,793",160,150,112
El Salvador,"3,812","15,108","32,171","10,899","25,031",41,"6,668,356",149,147,112
Equatorial Guinea,56,86,586,"7,692","28,998",21,"484,098",202,122,229
Eritrea,7,7,11,"1,826","5,203",303,"4,526,722",229,227,8
Estonia,"6,132","11,098","19,770","13,423","64,856",28,"1,344,312",86,50,207
Ethiopia,"1,024","2,502","6,876","19,048","26,238",31,"78,985,857",24,139,180
Faroe Islands,104,156,472,"25,323","55,787",31,"48,205",8,58,180
Fiji,445,817,"1,501","11,791","32,772",29,"828,046",125,109,199
Finland,"55,058","117,904","239,675","16,004","92,551",26,"5,246,004",44,31,215
France,"90,568","162,685","296,193","12,110","91,564",38,"60,990,544",111,32,128
French Guiana,107,153,253,"10,972","43,671",156,"192,099",146,78,13
French Polynesia,233,557,975,"10,719","23,616",45,"255,632",151,158,89
Gabon,296,430,869,"17,014","36,157",41,"1,290,693",39,99,112
Gambia,113,157,364,"5,043","13,158",38,"1,617,029",219,213,128
Georgia,"2,845","7,170","12,861","13,502","36,191",32,"4,473,409",85,98,173
Germany,"118,324","210,271","372,064","15,943","72,841",35,"82,652,369",45,45,146
Ghana,"1,740","2,372","5,764","11,462","14,602",42,"2,253,501",138,208,105
Gibraltar,24,99,140,"11,630","51,846",73,291,129,68,31
Greece,"23,543","89,151","165,118","14,685","73,858",33,"11,099,737",63,43,161
Greenland,48,56,73,"27,283","113,417",93,"57,475",5,18,24
Grenada,79,104,156,"9,908","40,520",102,"105,237",167,85,21
Guadeloupe,400,608,"1,169","12,727","53,424",112,"438,403",94,62,18
Guam,301,820,"1,564","9,168","28,332",49,"16,857",179,129,69
Guatemala,"7,071","18,818","37,497","14,950","24,247",31,"12,709,564",60,156,180
Guernsey,112,201,345,"8,923","33,676",40,0,185,107,118
Guinea,108,129,359,"6,287","11,575",82,"9,002,656",216,218,28
Guinea-Bissau,43,74,227,"16,034","24,619",37,"1,596,929",43,153,132
Guyana,313,547,"1,102","10,527","29,428",58,"739,472",154,120,52
Haiti,543,918,"2,242","9,146","17,839",36,"9,296,291",180,194,142
Holy See (Vatican City),6,280,400,"16,258","80,438",46,783,41,38,83
Honduras,"3,548","9,592","17,652","13,670","31,701",45,"683,411",84,112,89
Hong Kong,"1,453","39,249","98,477","15,443","83,415",20,"7,057,418",49,37,231
Hungary,"19,466","46,734","85,079","15,326","52,338",28,"10,086,387",52,63,207
Iceland,954,"1,454","2,199","22,092","139,070",34,"295,732",17,8,154
India,"414,722","1,308,953","2,674,784","6,645","19,236",51,"1,134,403,141",211,187,61
Indonesia,"168,208","703,068","1,689,401","11,575","20,333",48,"226,063,044",130,178,74
Iran (Islamic Republic of),"30,870","88,455","189,044","12,222","35,147",46,"69,420,607",107,104,83
Iraq,"7,241","16,232","34,724","18,665","38,330",32,"27,995,984",28,91,173
Ireland,"18,477","38,857","77,060","11,792","52,059",33,"4,143,294",124,66,161
Isle of Man,208,389,678,"8,967","26,847",51,"78,357",182,137,61
Israel,"8,485","46,333","88,545","13,858","55,893",30,"6,692,037",77,57,190
Italy,"158,001","526,253","1,082,663","12,371","54,172",42,"5,864,636",102,60,105
Jamaica,"1,212","1,986","3,559","11,952","40,291",35,"2,682,469",114,86,146
Japan,"51,232","113,322","311,269","10,930","60,992",47,"127,896,740",147,53,78
Jersey,94,147,217,"12,910","54,236",31,0,91,59,180
Jordan,"6,467","26,449","43,985","15,179","24,717",26,"5,544,066",53,152,215
Kazakhstan,"19,281","49,740","97,249","11,700","27,750",41,"15,210,609",127,131,112
Kenya,"3,122","5,834","11,421","11,812","25,026",43,"35,598,952",122,148,100
Kiribati,7,8,24,"8,138","14,938",488,"92,003",194,207,3
"Korea, Democratic People's Republic of",1,1,2,"7,810","17,734",48,"23,615,611",200,195,74
"Korea, Republic of","9,267","15,524","30,968","25,744","247,097",32,"47,869,837",6,1,173
Kuwait,"2,490","18,109","37,238","28,456","196,963",20,"2,700",4,2,231
Kyrgyzstan,"3,509","7,094","14,298","12,762","26,230",31,"5,203,547",93,140,180
Lao People's Democratic Republic,"5,207","10,653","22,901","13,756","28,974",31,"566,391",80,123,180
Latvia,"8,004","17,294","32,139","11,940","61,615",26,"2,301,793",115,51,215
Lebanon,"2,337","4,918","8,901","11,519","23,500",34,"401,074",135,160,154
Lesotho,166,222,774,"12,153","36,272",28,"1,980,831",109,97,207
Liberia,137,266,917,"11,448","20,011",36,"3,441,796",139,181,142
Libyan Arab Jamahiriya,"3,964","8,174","16,032","6,548","12,209",31,"5,918,217",214,216,180
Liechtenstein,122,204,445,"19,442","91,109",31,"34,598",23,34,180
Lithuania,"8,819","15,553","29,844","14,052","65,581",30,"3,425,077",75,49,190
Luxembourg,"1,055","2,164","3,664","18,484","98,073",30,"456,613",30,27,190
Macau,34,922,"2,765","23,918","70,477",21,"47,309",12,46,229
Madagascar,190,250,588,"7,884","16,456",65,"18,642,586",198,201,38
Malawi,524,788,"1,843","12,686","21,331",48,"13,226,091",95,171,74
Malaysia,"54,669","416,540","941,643","10,319","35,525",40,"25,652,985",157,101,118
Maldives,30,245,445,"18,336","101,415",35,"295,297",31,24,146
Mali,270,392,"1,194","15,136","25,506",50,"1,161,109",55,145,66
Malta,542,"2,302","3,780","14,385","54,153",33,"402,617",68,61,161
Martinique,305,492,"1,100","11,935","52,075",111,"395,896",116,65,19
Mauritania,386,751,"2,177","8,219","14,433",106,"2,963,105",193,209,20
Mauritius,"1,102","3,332","7,331","13,278","33,334",25,"1,241,173",89,108,220
Mayotte,30,36,83,"9,899","35,223",264,0,168,102,9
Mexico,"63,478","217,705","366,367","12,114","27,302",63,"104,266,392",110,135,40
"Micronesia, Federated States of",14,18,40,942,"15,391",163,"110,058",231,204,12
Monaco,35,167,297,"13,910","138,100",49,325,76,9,69
Mongolia,864,"1,321","3,071","11,903","21,964",35,"2,580,704",118,168,146
Montenegro,"1,137","3,341","6,107","15,081","41,795",27,"607,969",58,83,213
Montserrat,8,9,9,"12,382","58,193",63,"5,628",101,56,40
Morocco,"11,406","36,109","67,073","14,322","38,756",33,"30,494,991",69,88,161
Mozambique,"1,425","2,504","7,741","13,389","20,387",50,"20,532,675",87,176,66
Namibia,754,"1,322","2,463","12,504","20,373",37,"2,019,677",98,177,132
Nauru,3,5,11,"9,008","20,123",222,"10,111",181,179,10
Nepal,"1,888","2,937","4,571","12,257","19,370",40,"27,093,656",105,186,118
Netherlands,"24,605","43,776","70,287","23,721","109,899",29,"1,632,769",13,21,199
Netherlands Antilles,198,331,512,"17,004","52,143",43,"186,392",40,64,100
New Caledonia,77,100,158,"5,428","19,060",25,"234,185",218,188,220
New Zealand,"5,447","9,620","17,841","14,823","79,264",40,"4,097,112",61,40,118
Nicaragua,"2,886","7,810","14,142","11,127","23,570",36,"5,462,539",142,159,142
Niger,229,355,742,"6,585","10,658",92,"1,326,419",212,219,25
Nigeria,"4,409","6,709","16,067","11,513","20,992",51,"141,356,083",136,174,61
Niue,1,1,1,"2,477","3,855",113,"1,632",225,230,17
Norfolk Island,6,6,9,"3,391","23,022",560,0,224,163,2
Northern Mariana Islands,84,164,231,"9,462","32,424",42,"80,258",174,110,105
Norway,"16,506","25,242","43,307","25,393","159,773",33,"4,638,836",7,5,161
Oman,"4,824","9,243","16,204","18,544","101,283",36,"2,507,042",29,25,142
Pakistan,"41,407","150,274","322,233","11,800","18,739",44,"158,080,591",123,190,97
Palau,40,63,126,"14,819","19,964",34,"20,127",62,182,154
Palestine,"3,004","10,229","21,372","7,860","25,856",40,"3,762,005",199,144,118
Panama,"3,036","9,413","17,837","11,873","22,036",32,"3,231,502",119,166,173
Papua New Guinea,566,"1,543","4,129","15,651","31,329",72,"6,069,715",47,115,33
Paraguay,"3,637","7,043","11,317","8,786","21,149",42,"5,904,342",187,172,105
Peru,"14,794","54,351","125,205","12,186","22,015",57,"27,274,266",108,167,53
Philippines,"61,258","414,697","971,891","7,466","27,414",35,"84,566,163",206,133,146
Poland,"76,242","155,216","289,046","10,979","51,918",33,"38,195,558",145,67,161
Portugal,"15,582","33,855","55,378","15,354","88,740",37,"10,528,226",51,35,132
Puerto Rico,"6,975","26,960","58,190","11,818","95,436",42,"3,946,779",121,30,105
Qatar,"2,047","7,168","12,733","30,210","194,647",28,"796,186",3,3,207
Republic of Moldova,"2,175","4,063","7,328","11,345","37,497",28,"3,876,661",141,95,207
Reunion,333,517,"1,104","12,610","58,662",81,"785,159",96,55,29
Romania,"24,307","66,480","124,709","11,744","38,737",34,"21,627,557",126,89,154
Russia,"281,417","724,792","1,462,290","10,384","28,673",43,"143,953,092",156,126,100
Rwanda,380,711,"2,698","7,364","20,516",46,"9,233,793",207,175,83
Saint Barthelemy,95,275,753,"10,013","24,342",62,0,165,155,43
Saint Kitts and Nevis,50,84,136,"10,733","35,169",99,"49,138",150,103,22
Saint Lucia,99,160,279,"9,852","33,784",63,"16,124",169,106,40
Saint Martin,41,95,201,"8,122","31,606",114,0,195,114,16
Saint Pierre and Miquelon,8,14,22,"23,613","129,977",44,"6,346",14,12,97
Saint Vincent and the Grenadines,58,76,142,"9,650","26,173",60,"119,137",171,141,49
Samoa,212,398,818,"12,793","21,644",29,"183,845",92,170,199
San Marino,65,134,181,"11,924","37,970",39,"30,214",117,93,124
Sao Tome and Principe,12,13,24,"1,428","4,192",99,"152,622",230,229,22
Saudi Arabia,"31,186","127,931","269,447","21,827","131,255",41,"2,361,236",18,11,112
Senegal,574,943,"2,383","14,482","27,629",30,"1,177,034",66,132,190
Serbia,"11,013","24,450","41,134","14,234","46,732",25,"9,863,026",71,72,220
Seychelles,57,91,177,"15,117","49,326",83,"85,532",56,70,27
Sierra Leone,218,425,987,"7,228","13,867",37,"5,586,403",208,212,132
Singapore,"1,178","23,806","44,739","19,582","112,170",24,"4,327,468",22,19,226
Slovakia,"7,803","14,356","24,444","11,698","41,942",30,"5,386,995",128,82,190
Slovenia,"6,419","14,181","25,471","13,328","66,992",25,"1,999,425",88,48,220
Solomon Islands,36,45,79,"7,662","11,862",54,"472,419",204,217,57
Somalia,531,"1,170","3,634","14,961","17,959",45,"8,196,395",59,193,89
South Africa,"24,894","53,298","107,485","11,520","51,294",35,"47,938,663",134,69,146
Spain,"36,738","83,721","169,299","13,039","47,557",49,"43,397,491",90,71,69
Sri Lanka,"11,487","26,113","59,299","7,751","18,786",34,"19,120,763",201,189,154
Sudan,"1,318","2,538","6,030","7,687","13,048",60,"36,899,747",203,214,49
Suriname,361,706,"1,215","18,715","44,805",37,"452,468",26,77,132
Svalbard,10,13,19,"22,554","144,155",73,0,16,7,31
Swaziland,162,248,742,"14,196","22,792",35,"1,124,529",72,164,146
Sweden,"11,754","16,643","29,855","17,547","102,973",35,"9,038,049",34,22,146
Switzerland,"15,738","36,713","68,112","24,875","123,111",24,"7,424,389",9,16,226
Syrian Arab Republic,"3,842","9,732","19,515","8,529","20,085",47,"18,893,881",190,180,78
Taiwan,"26,335","336,501","923,818","18,705","100,416",25,0,27,26,220
Tajikistan,"1,343","2,300","4,738","6,768","14,150",46,"6,550,213",210,211,83
Thailand,"108,129","447,108","1,124,573","14,593","45,727",31,"63,002,911",64,74,180
The former Yugoslav Republic of Macedonia,"3,047","11,108","20,422","17,868","61,135",26,"2,033,655",33,52,215
Timor-Leste,253,715,"2,117","4,973","6,707",37,"1,067,285",220,225,132
Togo,621,933,"1,674","9,914","36,582",61,"6,238,572",166,96,46
Tonga,44,53,142,"9,212","23,180",364,"99,361",177,162,5
Trinidad and Tobago,"1,174","2,477","5,042","11,826","31,009",61,"1,323,722",120,117,46
Tunisia,"4,925","14,401","25,893","15,171","28,974",28,"10,104,685",54,123,207
Turkey,"36,395","91,701","154,603","15,779","41,270",33,"72,969,723",46,84,161
Turkmenistan,321,387,574,"2,464","4,749",70,"4,833,266",226,228,35
Turks and Caicos Islands,13,27,39,"6,365","23,753",178,"24,459",215,157,11
Uganda,"1,270","2,069","4,984","9,640","21,031",46,"28,947,181",172,173,83
Ukraine,"49,182","105,392","219,119","12,394","28,008",43,"46,917,544",100,130,100
United Arab Emirates,"5,249","17,588","50,506","24,215","161,042",37,"4,104,291",11,4,132
United Kingdom,"119,825","317,901","601,513","11,529","73,261",43,"60,244,834",133,44,100
United Republic of Tanzania,"1,917","2,830","6,423","10,233","17,531",49,"38,477,873",161,196,69
United States,"618,597","1,245,132","2,561,284","14,190","111,568",45,"299,846,449",73,20,89
United States Virgin Islands,248,552,"1,415","8,098","42,214",61,"111,408",196,80,46
Uruguay,"1,989","3,710","10,722","13,720","38,307",38,"3,325,727",82,92,128
Uzbekistan,"8,644","14,973","29,960","10,266","17,965",37,"26,593,123",159,192,132
Vanuatu,58,103,191,"12,357","24,746",38,"215,366",103,151,128
Venezuela,"5,530","18,176","34,574","4,648","7,686",55,"26,725,573",221,223,56
Viet Nam,"44,917","115,498","247,856","20,442","43,472",33,"85,028,643",20,79,161
Wallis and Futuna Islands,1,1,1,33,20,344,"15,079",233,233,6
Western Sahara,235,504,"1,412","15,383","37,724",47,"440,428",50,94,78
Yemen,"1,511","7,211","22,777","6,123","10,369",69,"21,095,679",217,220,37
Zambia,"1,086","1,602","3,483","12,096","19,882",51,"11,478,317",112,183,61
Zimbabwe,846,"1,183","3,787","8,928","19,496",56,"13,119,679",184,185,54